"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CMA_UID","PR_UID","CSD_UID","CD_UID","v_CA21_1040: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA21_1043: 0 to 17 years","v_CA21_1046: 0 to 5 years","v_CA21_1049: 18 to 64 years","v_CA21_1052: 65 years and over","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA21_1088: 0 to 17 years","v_CA21_1091: 0 to 5 years","v_CA21_1094: 18 to 64 years","v_CA21_1097: 65 years and over","v_CA21_1140: Gini index on adjusted household total income","v_CA21_1141: Gini index on adjusted household market income","v_CA21_1142: Gini index on adjusted household after-tax income","v_CA21_8: Total - Age","v_CA21_251: 65 years and over","v_CA21_386: Average age","v_CA21_389: Average age"
"1","5350001.00","CT","0001.00",6.8192,599,253,235,"35535","","3520005","3520",9.6,8,NA,8,24,6,NA,NA,6,8,0.36,0.426,0.309,600,55,38.9,40.4
"2","5350002.00","CT","0002.00",3.3926,604,294,284,"35535","","3520005","3520",11.6,NA,NA,12,13,8.4,NA,NA,11,7,0.346,0.46,0.301,605,250,55,62
"3","5350003.00","CT","0003.00",0.9455,457,279,265,"35535","","3520005","3520",12.8,18,NA,12,12,8.5,18,NA,8,NA,0.37,0.446,0.322,460,45,39.6,38
"4","5350004.00","CT","0004.00",0.3404,6306,3620,3276,"35535","","3520005","3520",22.9,24.6,22,20.5,36.4,14.9,10,8,16.2,10.8,0.358,0.544,0.314,6310,840,41.8,40
"5","5350005.00","CT","0005.00",0.3764,6957,4235,3720,"35535","","3520005","3520",19.8,21.4,15,15.8,45.8,12.8,10.8,7,13,14.2,0.38,0.513,0.334,6950,865,39.9,36.4
"6","5350006.00","CT","0006.00",0.0129,119,1,1,"35535","","3520005","3520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,105,82,84
"7","5350007.01","CT","0007.01",0.1999,3402,1838,1653,"35535","","3520005","3520",16.6,10,10,16.4,24.4,10.8,2.5,NA,12.6,7.6,0.371,0.516,0.321,3400,615,44.8,42.4
"8","5350007.02","CT","0007.02",0.4346,4422,2639,2372,"35535","","3520005","3520",20.2,21.6,24,18.6,29.2,11.8,8.4,10,13.2,6.4,0.326,0.506,0.291,4425,560,41.1,38
"9","5350008.01","CT","0008.01",0.3092,8480,5998,5470,"35535","","3520005","3520",9,12,11,8.8,13,7,4.5,3,7.2,6,0.343,0.388,0.301,8480,190,33.6,32
"10","5350008.02","CT","0008.02",1.9151,11591,7827,7022,"35535","","3520005","3520",11.5,15.8,12.8,10.4,22.8,8.9,10.8,8.4,8.6,11.6,0.37,0.435,0.324,11595,620,35.8,33.2
"11","5350009.00","CT","0009.00",0.1032,520,176,170,"35535","","3520005","3520",25,16,NA,21,52,15.2,NA,NA,16,12,0.302,0.536,0.276,520,75,43.5,39.6
"12","5350010.01","CT","0010.01",0.2476,5611,3400,3184,"35535","","3520005","3520",8.9,15.2,11,7.3,18.5,6.3,8.4,6,6.1,5.6,0.395,0.45,0.338,5610,415,37.6,35.6
"13","5350010.02","CT","0010.02",0.5382,7468,4713,4264,"35535","","3520005","3520",11.3,13.4,9.5,10.4,17.6,8.5,10,7,8.5,7.2,0.51,0.572,0.409,7470,695,39.9,37.2
"14","5350011.01","CT","0011.01",0.4611,9592,7391,6377,"35535","","3520005","3520",12.2,17.2,14,11.6,18,9.4,10,8.5,9.5,6.8,0.432,0.475,0.373,9590,360,34.7,32
"15","5350011.02","CT","0011.02",0.2877,9746,7605,6571,"35535","","3520005","3520",14.5,15.2,12,14.3,21,13,12.4,9.5,13.1,11,0.422,0.464,0.37,9745,260,32.3,29.8
"16","5350011.03","CT","0011.03",0.2315,6391,5157,4120,"35535","","3520005","3520",16,23,24,15.5,21,14,18.5,19.5,13.9,11,0.502,0.545,0.439,6390,220,33.3,30.8
"17","5350012.01","CT","0012.01",0.4305,13554,8969,7893,"35535","","3520005","3520",16.1,22.8,20.8,15,22.8,12.8,13,12.8,12.8,12,0.38,0.452,0.338,13555,550,33.1,31.2
"18","5350012.03","CT","0012.03",0.4664,8957,6005,5176,"35535","","3520005","3520",14.4,18.8,14.4,13.6,22.8,12.3,12.8,10.4,12.4,10.4,0.378,0.426,0.336,8955,385,34.4,32
"19","5350012.04","CT","0012.04",0.2407,5688,3967,3483,"35535","","3520005","3520",11.1,8.5,9,11.2,12,10.1,6.4,7,10.9,5.6,0.417,0.472,0.361,5690,585,39.2,34.8
"20","5350013.01","CT","0013.01",0.3431,6820,4891,4241,"35535","","3520005","3520",15,15.6,11,11.7,36.8,9.8,8,7,9.8,11,0.432,0.495,0.374,6820,800,39.3,34.4
"21","5350013.02","CT","0013.02",0.4225,10439,7001,6175,"35535","","3520005","3520",13,12.6,10.8,13.1,12.7,10.6,8.8,7.2,11.4,6.3,0.451,0.494,0.394,10435,1310,39.8,34.4
"22","5350014.00","CT","0014.00",0.4727,2382,1663,1312,"35535","","3520005","3520",20.2,24,20,20.9,7,18.3,19,18,19.3,5,0.561,0.597,0.496,2380,220,37.7,32.4
"23","5350015.00","CT","0015.00",0.286,4922,3688,3046,"35535","","3520005","3520",13.2,19,18,13,11.8,9.3,8,9,10.1,4.8,0.473,0.532,0.408,4925,705,41.7,36.8
"24","5350016.00","CT","0016.00",0.6317,11144,7596,6845,"35535","","3520005","3520",11.9,16.8,11,10.5,21,8.9,10.4,6,9,6.8,0.412,0.478,0.356,11145,910,38.4,35.2
"25","5350017.01","CT","0017.01",0.8026,4787,3196,2948,"35535","","3520005","3520",13.2,29.2,24,11.6,12,8.9,13.2,9,8.6,6,0.391,0.465,0.34,4785,305,36.6,34.4
